asset_slug,title,category,subcategory,status,owner,update_cadence,canonical_path,canonical_format,has_pmtiles,has_geojson,has_csv,last_updated,source,license,notes
marine-regions-eez,Marine Regions Exclusive Economic Zones,100-geographic-reference,120-marine-boundaries,active,SkyTruth,manual,gs://skytruth-shared-datasets-1/100-geographic-reference/120-marine-boundaries/marine-regions-eez/latest/marine-regions-eez.fgb,fgb,true,false,false,2026-04-29,Marine Regions EEZ v12,See Marine Regions terms,Initial upload from eez-mr_eez_v12.fgb; release 2026-04-29; sha256 b4f1d04cff66a75a4176734a02e2af994b7c55490b7b42cdcf7ba2d5c431f6b7; PMTiles sha256 34345c1e24ef99fe5c9be0b8a4f5b38b26a5e4b7411c6735002133e17105fea2
iho-world-seas,IHO World Seas,100-geographic-reference,120-marine-boundaries,active,SkyTruth,manual,gs://skytruth-shared-datasets-1/100-geographic-reference/120-marine-boundaries/iho-world-seas/latest/iho-world-seas.fgb,fgb,true,false,false,2026-04-29,Marine Regions World Seas IHO v3,See source terms,Initial upload from iho-mr_World_Seas_IHO_v3.fgb; release 2026-04-29; sha256 1fb5a7988b686e1076fe0a21d75d5df32fa28dfcd100dbe3db3aaaf8c9493ba6; PMTiles sha256 918f23c7e31977b411654fde409df0ab8adb76830d4abbc4c1d4083c328e90b0
wdpa-marine,WDPA Marine Protected and Conserved Areas,100-geographic-reference,130-protected-areas,active,SkyTruth,monthly,gs://skytruth-shared-datasets-1/100-geographic-reference/130-protected-areas/wdpa-marine/latest/wdpa-marine.fgb,fgb,true,false,false,2026-04-29,UNEP-WCMC and IUCN Protected Planet WDPA/WDOECM,See Protected Planet WDPA terms,Simplified monthly job preserves source fields and publishes FGB plus PMTiles
wdpa-terrestrial,WDPA Terrestrial Protected and Conserved Areas,100-geographic-reference,130-protected-areas,active,SkyTruth,monthly,gs://skytruth-shared-datasets-1/100-geographic-reference/130-protected-areas/wdpa-terrestrial/latest/wdpa-terrestrial.fgb,fgb,true,false,false,2026-04-29,UNEP-WCMC and IUCN Protected Planet WDPA/WDOECM,See Protected Planet WDPA terms,Simplified monthly job preserves source fields and publishes FGB plus PMTiles
ims-sea-ice-extent,IMS Sea-Ice Extent,200-imagery-derived,250-weather-climate,active,SkyTruth,daily,gs://skytruth-shared-datasets-1/200-imagery-derived/250-weather-climate/ims-sea-ice-extent/latest/ims-sea-ice-extent.fgb,fgb,true,false,false,2026-04-29,NOAA NSIDC IMS Daily Northern Hemisphere Snow and Ice Analysis G02156,Public U.S. government work; cite NSIDC G02156,Daily job publishes raw IMS class 3 as FGB plus PMTiles
